habitat	moisture	light	nutrients	angsfraken	angsgroe	angskovall	angsyra	Blabar	Brudborste	Brunror	Dvarglummer	Ekbraken	Ekorrbar	En	Fladervanderot	Gran	Grasstjarnblomma	Graal	Gullris	Hallon	Harsyra	Hasslebrodd	Hultbraken	Karrviol	Krakbar	Krakvicker	Krustatel	Lingon	Ljung	Lundstjarnblomma	Midsommarblomster	Mossviol	Mjolkort	Nordbraken	Nordlundsarv	Nysort	Ormbar	Odon	Revlummer	Rodblara	Rodsvingel	Rodven	Rolleka	Ronn	Skogsbraken	Skogsfraken	Skogskovall	Skogsviol	Skogsstjarna	Strutbraken	Sumpmara	Topplosa	Trajon	Tuvtatel	Varfryle	akerbar	Mossa	Lav
Stream	2	2	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	25	5	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	80	5
Stream	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	25	0
Stream	2	2	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	5	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	25	0
Stream	2	2	3	0	0	0	0	0	0	0	0	80	5	0	0	0	0	0	0	5	25	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	25	5	0	0	5	0	0	0	0	0	0	0	25	0
Stream	2	2	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	25	0	0	80	0
Stream	2	2	3	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	25	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	25	0
Stream	2	2	3	0	0	0	0	0	0	0	0	0	0	0	25	5	0	0	0	5	25	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	5	0	5	0	0	0	5	0	5	0	0	80	0
Stream	2	2	3	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	25	25	5	5	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	0	5	0	0	0	5	5	0	0	5	5
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	80	5
Spruce.forest	3	1	2	0	0	0	0	25	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Spruce.forest	3	1	2	0	0	0	0	25	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	80	5
Spruce.forest	3	1	2	0	0	0	0	80	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	80	0
Pine.forest	1	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80
Pine.forest	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	80
Pine.forest	1	3	1	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	5
Pine.forest	1	3	1	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	80
Pine.forest	1	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25
